Day  T_A [K]  T_B [K]  T_C [K]
106  301.918  295.186  280.182
107  311.260  290.385  279.286
108  301.456  284.289  279.013
109  298.316  290.199  261.893
110  301.829  288.462  264.448
111  308.112  297.779  269.871
112  303.080  288.826  286.898
113  319.738  286.566  290.761
114  299.517  281.521  267.398
115  301.519  287.450  276.876
116  300.531  286.017  280.658
117  291.822  273.335  277.590
118  316.088  284.869  275.558
119  294.467  293.017  271.322
120  308.044  296.977  276.590
121  296.411  271.719  284.606
122  316.577  286.722  279.329
123  312.582  278.908  281.723
124  309.832  287.141  252.757
125  302.846  279.965  288.857
126  313.372  298.368  273.042
127  300.153  286.230  279.083
128  298.971  279.546  303.348
129  299.311  285.449  271.652
130  308.053  281.945  271.733
131  298.849  285.884  265.562
132  303.054  287.428  281.567
133  290.465  265.995  272.416
134  295.548  283.966  295.868
135  312.107  281.767  282.087
136  311.969  284.209  296.570
137  313.060  285.784  277.720
138  286.471  272.407  280.560
139  286.525  281.986  273.051
140  300.484  274.455  282.194
141  287.529  275.306  276.184
142  286.445  266.903  302.085
143  297.105  270.050  267.863
144  300.232  277.069  285.474
145  286.987  282.838  273.479
146  306.740  290.801  265.795
147  302.274  285.743  280.740
148  297.118  297.113  278.960
149  289.356  277.161  292.608
150  272.518  281.834  293.323
151  293.102  270.454  305.033
152  296.843  262.529  282.961
153  295.240  286.572  288.090
154  307.684  272.118  286.672
155  293.228  263.098  277.224
156  283.990  275.732  285.573
157  301.188  266.987  282.744
158  326.184  275.150  306.163
159  310.306  286.313  278.181
160  292.871  289.875  287.298
161  308.359  292.525  282.163
162  296.911  273.546  282.741
163  288.588  257.480  284.675
164  284.863  274.197  288.565
165  297.098  268.217  265.221
166  287.872  265.146  298.832
167  279.653  283.434  290.854
168  305.156  276.964  290.344
169  290.841  284.493  294.923
170  294.397  282.811  286.755
171  297.373  280.540  276.197
172  301.417  289.661  282.045
173  294.121  278.343  292.667
174  303.340  282.179  282.711
175  292.969  290.100  291.070
176  291.070  279.434  296.608
177  285.554  272.460  309.378
178  298.030  282.481  311.630
179  276.176  268.923  294.411
180  285.902  283.270  289.900
181  294.391  273.687  280.404
182  287.379  265.631  294.706
183  291.836  271.058  308.462
184  297.875  281.521  278.955
185  297.833  283.902  316.888
186  290.018  268.989  290.888
187  293.039  281.696  285.839
188  274.266  287.129  288.700
189  296.864  263.874  285.571
190  293.861  262.871  293.266
191  292.431  277.108  301.017
192  290.801  280.987  291.516
193  279.506  270.026  291.961
194  284.674  287.765  287.637
195  271.157  269.573  305.532
196  299.878  265.121  290.219
197  281.827  293.901  294.847
198  278.405  281.310  308.885
199  284.167  272.560  292.469
200  276.887  269.522  289.054
201  274.163  268.891  285.867
202  279.939  271.498  289.334
203  256.782  273.778  271.503
204  271.511  275.551  299.038
205  275.818  265.913  312.595
206  294.064  276.896  293.259
207  277.484  275.558  291.665
208  280.069  287.351  294.976
209  282.250  275.908  303.307
210  266.476  288.686  310.185
211  293.223  271.490  299.273
212  300.748  287.326  301.375
213  287.645  288.801  300.465
214  280.182  292.461  291.060
215  301.624  274.877  302.887
216  298.249  282.516  299.041
217  277.180  269.816  306.321
218  293.250  260.500  299.629
219  291.904  293.226  307.196
220  295.195  249.519  308.490
221  265.778  275.957  285.734
222  286.722  278.507  306.966
223  291.370  291.913  297.778
224  276.180  283.978  307.070
225  290.002  294.181  301.096
226  278.385  280.384  290.644
227  261.094  287.095  298.545
228  287.133  276.651  298.135
229  268.529  287.692  298.694
230  289.688  293.963  291.619
231  277.095  274.088  289.688
232  277.325  278.080  294.829
233  290.474  270.967  313.749
234  272.390  288.463  292.717
235  274.624  296.980  290.242
236  272.340  268.704  300.094
237  282.072  277.078  296.149
238  286.494  282.692  298.774
239  267.982  280.062  291.420
240  288.975  280.445  288.960
241  291.887  268.335  290.922
242  272.608  280.826  289.034
243  281.055  282.612  301.613
244  290.597  288.621  311.081
245  254.401  275.924  295.264
246  277.394  277.967  318.077
247  273.523  285.926  313.785
248  277.146  270.316  299.441
249  275.124  281.637  307.496
250  268.589  303.352  298.234
251  276.022  293.391  299.017
252  261.199  289.504  311.785
253  278.627  285.626  301.145
254  291.947  262.805  317.985
255  269.794  294.934  301.343
256  264.151  282.003  307.727
257  272.053  280.266  305.797
258  288.878  305.085  314.461
259  263.441  285.386  286.541
260  298.949  289.475  310.392
261  276.782  282.917  295.728
262  294.892  268.706  296.030
263  272.852  301.628  319.882
264  265.374  298.983  316.265
265  274.423  277.375  317.973
266  276.466  291.098  318.370
267  258.908  281.303  290.250
268  298.718  287.153  303.186
269  286.731  288.493  298.371
270  286.995  305.336  310.751
271  276.884  269.081  316.288
272  280.249  290.977  306.451
273  284.828  301.735  297.059
274  295.801  279.927  322.199
275  290.084  295.780  311.324
276  285.501  298.698  311.481
277  275.552  286.471  301.643
278  277.915  274.927  296.426
279  260.706  281.565  303.670
280  287.154  321.273  292.542
281  268.577  264.560  301.979
282  261.206  300.226  296.179
283  277.120  284.586  298.008
284  278.918  284.261  297.175
285  263.461  310.148  292.052
286  284.582  287.895  297.623
287  262.542  311.073  310.479
288  276.946  294.256  304.134
289  276.371  296.914  309.106
290  279.573  300.954  300.440
291  276.625  276.505  295.789
292  282.106  310.331  297.633
293  272.959  292.045  306.112
294  262.544  290.901  291.715
295  283.691  278.307  313.631
296  279.599  295.372  301.143
297  284.111  309.612  307.125
298  296.505  302.186  310.577
299  271.234  300.644  295.546
300  273.637  298.320  313.664
301  264.685  292.800  304.551
302  294.525  290.164  322.492
303  290.641  301.959  308.542
304  281.853  314.102  300.649
305  271.593  289.990  323.274
306  268.019  296.893  303.676
307  281.383  308.626  292.529
308  259.440  304.245  296.619
309  271.534  312.275  302.537
310  292.319  287.022  309.984
311  282.279  290.568  304.122
312  283.798  295.142  307.232
313  264.631  299.918  283.779
314  290.235  302.356  303.926
315  309.887  303.306  307.944
316  273.005  302.602  306.477
317  292.681  302.415  309.755
318  277.910  311.811  300.636
319  270.275  294.948  300.672
320  285.711  284.458  302.769
321  273.769  293.341  285.927
322  269.633  300.684  288.719
323  280.496  295.549  302.883
324  274.289  306.034  293.625
325  291.395  295.379  288.440
326  285.560  292.804  284.220
327  261.860  294.094  280.754
328  275.021  322.932  301.028
329  289.552  306.534  316.104
330  270.480  301.141  299.165
331  289.486  297.982  296.653
332  287.837  307.647  290.823
333  288.290  297.200  315.301
334  287.264  294.821  293.202
335  299.381  303.476  295.635
336  286.769  299.359  296.846
337  303.400  293.342  301.256
338  277.017  308.972  296.832
339  271.557  299.993  303.737
340  306.954  312.662  298.186
341  280.623  301.248  303.241
342  282.352  301.890  298.969
343  286.016  315.995  306.658
344  276.020  301.731  298.193
345  294.687  307.474  309.317
346  298.499  308.510  286.433
347  276.879  312.140  290.511
348  281.756  305.657  285.452
349  280.791  302.524  294.305
350  283.772  316.211  287.104
351  301.047  320.699  292.262
352  284.352  293.821  295.770
353  295.491  296.477  286.281
354  279.961  324.776  272.522
355  300.608  304.949  299.139
356  288.432  328.615  285.361
357  315.979  306.010  288.392
358  293.039  319.137  293.285
359  285.174  316.553  287.176
360  306.056  305.923  299.658
361  286.025  304.614  278.628
362  287.540  310.591  299.614
363  292.249  300.559  304.219
364  295.103  296.267  292.459
365  269.392  297.067  284.430
