Day  T_A [K]  T_B [K]  T_C [K]
220  273.700  291.245  296.007
221  265.935  261.058  284.031
222  290.519  267.111  302.332
223  257.915  273.798  289.794
224  275.188  272.955  291.170
225  283.903  272.665  285.795
226  276.186  280.095  304.107
227  270.817  268.783  315.397
228  276.164  262.058  316.851
229  273.466  271.380  306.773
230  287.842  258.441  320.678
231  304.143  268.889  295.455
232  285.156  287.123  294.928
233  279.670  268.195  302.049
234  275.427  261.427  305.854
235  281.307  280.824  298.913
236  267.061  265.188  296.019
237  284.622  283.608  294.980
238  292.257  289.106  286.767
239  284.966  288.250  321.209
240  281.472  289.692  294.406
241  272.980  280.923  305.181
242  290.471  261.484  293.141
243  277.150  280.359  308.528
244  269.064  258.138  295.359
245  259.839  273.641  292.634
246  284.431  301.510  321.133
247  279.208  272.535  322.044
248  293.060  278.004  308.370
249  268.017  256.423  303.772
250  257.926  289.972  302.739
251  298.952  293.592  303.562
252  282.902  283.596  305.493
253  263.709  280.023  280.785
254  294.615  295.263  284.629
255  272.985  286.243  302.674
256  277.678  301.163  310.076
257  271.397  302.992  290.645
258  279.403  294.642  297.040
259  290.165  262.433  298.227
260  274.809  283.084  315.647
261  281.704  286.134  303.145
262  279.283  312.689  302.311
263  280.073  304.592  319.917
264  275.922  289.236  312.054
265  283.234  280.619  305.590
266  265.063  296.280  301.549
267  277.997  278.467  305.783
268  272.072  292.681  302.618
269  291.681  306.129  298.294
270  273.048  285.721  297.561
271  289.008  296.166  304.571
272  272.573  281.867  296.490
273  264.370  296.307  292.971
274  265.959  277.420  302.195
275  261.478  268.540  294.676
276  259.658  302.360  321.520
277  274.165  304.897  304.754
278  271.172  291.306  306.453
279  266.980  301.784  315.041
280  272.980  303.929  310.960
281  281.373  281.106  310.059
282  276.767  283.721  310.317
283  257.290  291.338  301.697
284  272.766  292.499  317.560
285  268.443  302.601  307.004
286  257.047  285.998  333.430
287  270.399  296.372  310.703
288  304.290  281.668  302.356
289  266.771  299.994  304.751
290  283.684  289.324  306.825
291  280.025  286.403  300.603
292  270.776  298.961  300.601
293  281.251  279.728  295.347
294  284.795  297.052  321.105
295  272.417  297.162  297.324
296  280.585  300.686  315.266
297  269.539  289.343  301.064
298  273.469  293.688  312.084
299  265.829  289.092  290.184
300  273.190  274.001  297.227
301  285.982  311.840  294.508
302  282.315  278.768  302.165
303  264.234  305.869  293.733
304  268.685  309.825  301.961
305  274.163  287.446  288.286
306  285.472  301.084  290.943
307  296.287  287.729  295.571
308  274.367  302.420  315.455
309  259.982  292.089  304.466
310  286.825  313.789  325.094
311  278.515  303.102  314.526
312  272.359  296.410  298.899
313  275.862  312.704  303.341
314  263.440  296.854  281.924
315  272.791  298.126  304.471
316  271.055  319.118  297.636
317  278.592  300.481  313.999
318  267.363  287.426  321.442
319  279.325  311.303  292.789
320  278.921  290.621  307.146
321  280.272  312.889  313.278
322  271.757  294.626  305.855
323  276.985  310.029  296.379
324  280.551  291.507  290.275
325  272.262  295.216  298.426
326  266.117  308.790  302.940
327  277.565  298.992  307.519
328  302.202  280.856  307.616
329  281.003  315.584  287.761
330  287.330  316.755  288.998
331  277.562  301.403  297.963
332  279.354  284.510  291.008
333  287.544  309.348  317.060
334  285.967  292.348  281.796
335  294.524  314.872  296.979
336  274.619  300.940  309.346
337  288.023  309.880  290.519
338  306.859  289.446  300.654
339  275.147  300.874  308.511
340  278.818  325.967  298.565
341  290.535  280.334  296.312
342  309.759  313.660  293.755
343  272.764  305.744  290.005
344  286.879  305.636  295.058
345  275.864  294.200  293.380
346  288.156  308.895  292.738
347  289.342  316.243  299.244
348  284.567  291.471  313.827
349  275.077  304.925  303.534
350  284.098  314.653  282.618
351  282.631  299.123  285.920
352  300.533  309.620  286.476
353  289.451  299.955  285.406
354  288.351  284.502  300.178
355  275.216  310.385  293.398
356  286.917  291.043  292.625
357  292.598  322.486  305.113
358  301.982  301.884  316.207
359  285.643  315.421  299.921
360  280.005  311.146  301.604
361  292.049  308.908  308.483
362  293.890  311.197  293.838
363  288.824  301.963  279.017
364  286.527  308.998  279.557
365  301.963  296.867  281.635
